Numero Cuenta,Cliente,Edad,PIN,Saldo,Estabilidad Laboral,Ingreso Mensual,Historial Prestamos,Adeudo
81234,Rosa Garcia,35,9520,14013,7,38002,-2,152008
82760,Carmen Rodriguez,62,4239,69346,44,23575,4,-27011.25
16996,Daniel Garcia,36,8424,26065,18,17633,4,-20275.75
11010,Ricardo Rodriguez,61,2622,15666,15,10340,1,25850
32023,Natalia Sanchez,59,5661,19389,22,30434,1,76085
46484,Carlos Fernandez,34,2024,95535,1,5357,3,-5871.70
37268,Jorge Garcia,36,1896,57699,6,8723,5,-10903.75
43547,Isabel Lopez,24,2242,74070,6,43913,4,-50452.95
66944,Andrea Lopez,32,3189,69784,7,15174,3,-16691.40
45085,Luis Lopez,52,6565,25048,7,25112,0,0
33238,Sofia Lopez,64,9817,60496,20,28648,0,0
85713,Diego Martinez,56,1399,3955,9,0,5,-36821.25
70905,Manuel Sanchez,64,5641,28934,2,26750,1,66875
10419,Clara Diaz,50,9831,76200,11,32383,-1,97149
85206,Beatriz Fernandez,51,7139,76238,22,44049,4,-50656.35
27969,Gabriela Gomez,69,6271,52143,28,33216,1,83040
57285,Daniel Lopez,32,4639,10508,14,0,1,123370
53788,Emilio Perez,29,6944,6524,11,14873,-1,44619
11848,Lucia Perez,64,9649,68541,4,12571,1,31427.50
19601,Luis Hernandez,44,1619,20204,25,40349,2,0
33210,Sofia Gomez,23,5139,23978,5,0,1,64192.50
31831,Carmen Hernandez,44,5186,8159,19,45289,0,0
51465,Manuel Perez,40,7423,57711,22,44983,1,112457.50
46304,Fernando Lopez,35,2920,86897,7,27272,-2,109088
84114,Isabel Rodriguez,60,6103,48432,27,39023,4,-44877.45
54382,Pedro Lopez,39,4765,28804,7,26789,-1,80367
25518,Pedro Diaz,70,6673,84304,11,14586,5,-18232.50
27203,Pedro Martinez,33,3005,29539,8,21034,1,52585
88230,Ricardo Perez,47,4760,9217,22,3422,-2,13688
95521,Luis Lopez,47,8638,46395,24,4924,-2,19696
74987,Oscar Lopez,47,8710,75438,25,20562,1,51405
81972,Patricia Martinez,28,1240,97099,10,0,1,20417
72734,Clara Diaz,38,5184,15064,13,12499,4,-14348.50
95731,Beatriz Sanchez,38,2565,12384,15,12297,-1,36891
95193,Laura Fernandez,37,2668,80008,16,26236,0,0
66492,Alfonso Perez,35,8003,0,0,0,0,0
